RX,RY,RZ,TX,TY,TZ
1.2256,-1.05368,-1.31711,-124.482,-1765.26,1670.92
1.22697,-1.05543,-1.32252,-124.622,-1763.77,1671
1.22643,-1.05706,-1.32551,-124.86,-1762.12,1670.97
1.22633,-1.05825,-1.32961,-125.144,-1760.46,1670.97
1.23263,-1.06179,-1.33009,-125.378,-1758.74,1670.94
1.23105,-1.06081,-1.33231,-125.854,-1756.92,1670.82
1.23065,-1.06915,-1.33571,-126.144,-1755.22,1670.67
1.23159,-1.06457,-1.33635,-126.901,-1753.19,1670.54
1.22989,-1.06799,-1.34042,-127.533,-1751.28,1670.37
1.23143,-1.07009,-1.33662,-128.517,-1749.16,1669.96
1.23074,-1.07653,-1.33862,-129.333,-1747.18,1669.61
1.23331,-1.08163,-1.33713,-130.158,-1745.2,1669.16
1.23096,-1.08461,-1.33915,-131.193,-1743.26,1668.79
1.23343,-1.09017,-1.33743,-132.235,-1741.32,1668.32
1.22824,-1.09232,-1.34149,-133.435,-1739.48,1667.82
1.22383,-1.09762,-1.34323,-134.701,-1737.76,1667.4
1.23098,-1.10561,-1.3381,-135.799,-1735.97,1666.7
1.2266,-1.10943,-1.34202,-137.078,-1734.36,1666.1
1.2274,-1.11555,-1.34261,-138.315,-1732.83,1665.41
1.224,-1.12128,-1.34519,-139.617,-1731.38,1664.61
1.21886,-1.12523,-1.35514,-140.733,-1730.26,1663.87
1.22229,-1.13194,-1.35035,-142.188,-1728.96,1663
1.22171,-1.137,-1.35439,-143.442,-1727.99,1662.22
1.23275,-1.1514,-1.34836,-144.665,-1726.94,1661.35
1.23365,-1.15282,-1.34913,-146.055,-1726.29,1660.49
1.22438,-1.15219,-1.35737,-147.384,-1725.86,1659.56
1.21809,-1.1574,-1.3701,-148.497,-1725.55,1658.67
1.23072,-1.16049,-1.35571,-150.297,-1725.08,1657.66
1.22163,-1.16189,-1.36553,-151.589,-1725.11,1656.75
1.23073,-1.1804,-1.36837,-152.698,-1724.94,1656.06
1.23208,-1.18674,-1.37387,-154.024,-1725.3,1655.45
